Level5,Level 5 Achieved!!,FALSE,,Revealed,10,1
Level10,Level 10 Achieved!!,FALSE,,Revealed,10,2
Level15,Level 15 Achieved!!,FALSE,,Revealed,10,3
Level20,Level 20 Achieved!!,FALSE,,Revealed,10,4
Level25,Level 25 Achieved!!,FALSE,,Revealed,10,5
Level30,Level 30 Achieved!!,FALSE,,Revealed,10,6
Level35,Level 35 Achieved!!,FALSE,,Revealed,10,7
Level40,Level 40 Achieved!!,FALSE,,Revealed,10,8
Level45,Level 45 Achieved!!,FALSE,,Revealed,10,9
Level50,Level 50 Achieved!!,FALSE,,Revealed,10,10
Level55,Level 55 Achieved!!,FALSE,,Revealed,10,11
Level60,Level 60 Achieved!!,FALSE,,Revealed,10,12
Level65,Level 65 Achieved!!,FALSE,,Revealed,10,13
Level70,Level 70 Achieved!!,FALSE,,Revealed,10,14
Level75,Level 75 Achieved!!,FALSE,,Revealed,10,15
Level80,Level 80 Achieved!!,FALSE,,Revealed,10,16
Level85,Level 85 Achieved!!,FALSE,,Revealed,10,17
Level90,Level 90 Achieved!!,FALSE,,Revealed,10,18
Level95,Level 95 Achieved!!,FALSE,,Revealed,10,19
Level100,Level 100 Achieved!!,FALSE,,Revealed,10,20
Level105,Level 105 Achieved!!,FALSE,,Revealed,10,21
Level110,Level 110 Achieved!!,FALSE,,Revealed,10,22
Level115,Level 115 Achieved!!,FALSE,,Revealed,10,23
Level120,Level 120 Achieved!!,FALSE,,Revealed,10,24
Level125,Level 125 Achieved!!,FALSE,,Revealed,10,25
Level130,Level 130 Achieved!!,FALSE,,Revealed,10,26
Level135,Level 135 Achieved!!,FALSE,,Revealed,10,27
Level140,Level 140 Achieved!!,FALSE,,Revealed,10,28
Level145,Level 145 Achieved!!,FALSE,,Revealed,10,29
Level150,Level 150 Achieved!!,FALSE,,Revealed,10,30
Level155,Level 155 Achieved!!,FALSE,,Revealed,20,31
Level160,Level 160 Achieved!!,FALSE,,Revealed,20,32
Level165,Level 165 Achieved!!,FALSE,,Revealed,20,33
Level170,Level 170 Achieved!!,FALSE,,Revealed,20,34
Level175,Level 175 Achieved!!,FALSE,,Revealed,20,35
Level180,Level 180 Achieved!!,FALSE,,Revealed,20,36
Level185,Level 185 Achieved!!,FALSE,,Revealed,20,37
Level190,Level 190 Achieved!!,FALSE,,Revealed,20,38
Level195,Level 195 Achieved!!,FALSE,,Revealed,20,39
Level200,Level 200 Achieved!!,FALSE,,Revealed,20,40
Level205,Level 205 Achieved!!,FALSE,,Revealed,20,41
Level210,Level 210 Achieved!!,FALSE,,Revealed,20,42
Level215,Level 215 Achieved!!,FALSE,,Revealed,20,43
Level220,Level 220 Achieved!!,FALSE,,Revealed,20,44
Level225,Level 225 Achieved!!,FALSE,,Revealed,20,45
Level230,Level 230 Achieved!!,FALSE,,Revealed,20,46
Level235,Level 235 Achieved!!,FALSE,,Revealed,20,47
Level240,Level 240 Achieved!!,FALSE,,Revealed,20,48
Level245,Level 245 Achieved!!,FALSE,,Revealed,20,49
Level250,Level 250 Achieved!!,FALSE,,Revealed,20,50
Level255,Level 255 Achieved!!,FALSE,,Revealed,20,51
Level260,Level 260 Achieved!!,FALSE,,Revealed,30,52
Level265,Level 265 Achieved!!,FALSE,,Revealed,30,53
Level270,Level 270 Achieved!!,FALSE,,Revealed,30,54
Level275,Level 275 Achieved!!,FALSE,,Revealed,30,55
Level280,Level 280 Achieved!!,FALSE,,Revealed,30,56
Level285,Level 285 Achieved!!,FALSE,,Revealed,30,57
Level290,Level 290 Achieved!!,FALSE,,Revealed,30,58
Level295,Level 295 Achieved!!,FALSE,,Revealed,30,59
Level300,Level 300 Achieved!!,FALSE,,Revealed,50,60
