Level5,레벨 5 달성!!,게임에서 레벨 5에 도달하세요,ko-KR
Level5,レベル5達成!!,ゲームでレベル5に到達,ja-JP
Level5,达到5级!!,在游戏中达到5级,zh-CN
Level5,達成5級!!,在遊戲中達到5級,zh-TW
Level5,達成5級!!,在遊戲中達到5級,zh-HK
Level5,Niveau 5 atteint !!,Atteignez le niveau 5 dans le jeu,fr-FR
Level5,Niveau 5 atteint !!,Atteignez le niveau 5 dans le jeu,fr-CA
Level5,¡Nivel 5 alcanzado!,Alcanza el nivel 5 en el juego,es-ES
Level5,¡Nivel 5 alcanzado!,Alcanza el nivel 5 en el juego,es-US
Level5,Livello 5 raggiunto!!,Raggiungi il livello 5 nel gioco,it-IT
Level5,Level 5 erreicht!!,Erreiche Level 5 im Spiel,de-DE
Level5,Nível 5 alcançado!!,Alcance o nível 5 no jogo,pt-BR
Level5,Nível 5 alcançado!!,Alcance o nível 5 no jogo,pt-PT
Level5,Уровень 5 достигнут!!,Достигните уровня 5 в игре,ru-RU
Level5,Level 5 tercapai!!,Capai level 5 dalam permainan,id
Level5,Đạt cấp 5!!,Đạt cấp 5 trong trò chơi,vi
Level5,ถึงเลเวล 5 แล้ว!!,ถึงเลเวล 5 ในเกม,th
Level5,Seviye 5 başarıldı!!,Oyunda 5 seviyeye ulaşın,tr-TR
Level10,레벨 10 달성!!,게임에서 레벨 10에 도달하세요,ko-KR
Level10,レベル10達成!!,ゲームでレベル10に到達,ja-JP
Level10,达到10级!!,在游戏中达到10级,zh-CN
Level10,達成10級!!,在遊戲中達到10級,zh-TW
Level10,達成10級!!,在遊戲中達到10級,zh-HK
Level10,Niveau 10 atteint !!,Atteignez le niveau 10 dans le jeu,fr-FR
Level10,Niveau 10 atteint !!,Atteignez le niveau 10 dans le jeu,fr-CA
Level10,¡Nivel 10 alcanzado!,Alcanza el nivel 10 en el juego,es-ES
Level10,¡Nivel 10 alcanzado!,Alcanza el nivel 10 en el juego,es-US
Level10,Livello 10 raggiunto!!,Raggiungi il livello 10 nel gioco,it-IT
Level10,Level 10 erreicht!!,Erreiche Level 10 im Spiel,de-DE
Level10,Nível 10 alcançado!!,Alcance o nível 10 no jogo,pt-BR
Level10,Nível 10 alcançado!!,Alcance o nível 10 no jogo,pt-PT
Level10,Уровень 10 достигнут!!,Достигните уровня 10 в игре,ru-RU
Level10,Level 10 tercapai!!,Capai level 10 dalam permainan,id
Level10,Đạt cấp 10!!,Đạt cấp 10 trong trò chơi,vi
Level10,ถึงเลเวล 10 แล้ว!!,ถึงเลเวล 10 ในเกม,th
Level10,Seviye 10 başarıldı!!,Oyunda 10 seviyeye ulaşın,tr-TR
Level15,레벨 15 달성!!,게임에서 레벨 15에 도달하세요,ko-KR
Level15,レベル15達成!!,ゲームでレベル15に到達,ja-JP
